#,Biomarker,Category,Applies to,Unit,🟢 Optimal range,🟡 Sub-optimal when value is,🔴 Action required when value is,Our explainer (patient-facing),Our source,Approve as-is? (Y/N),Corrected values (if any),Notes
21,Luteinizing Hormone,Hormonal Balance,"Adult women, (pregnancy-sensitive)",mIU/mL,2 to 14 (inclusive),"> 1 and < 2, or > 14 and < 25",≤ 1 or ≥ 25,LH drives ovulation. Elevated LH:FSH ratio is a common marker in PCOS. Pregnancy ranges differ significantly.,Endocrine Society PCOS Guidelines (2024),,,
22,Follicle-Stimulating Hormone,Hormonal Balance,Adult men,mIU/mL,1.5 to 12.4 (inclusive),"> 1 and < 1.5, or > 12.4 and < 15",≤ 1 or ≥ 15,FSH supports sperm production in men. Elevated FSH may indicate testicular dysfunction.,AACC reference intervals (2024),,,
23,Follicle-Stimulating Hormone,Hormonal Balance,"Adult women, (pregnancy-sensitive)",mIU/mL,3 to 10 (inclusive),"> 1 and < 3, or > 10 and < 30",≤ 1 or ≥ 30,FSH drives follicular development. Elevated FSH suggests diminished ovarian reserve or menopause.,Endocrine Society Ovarian Insufficiency Guidelines (2024),,,
24,Prolactin,Hormonal Balance,Adult men,ng/mL,2 to 18 (inclusive),"> 1 and < 2, or > 18 and < 25",≤ 1 or ≥ 25,Elevated prolactin in men can suppress testosterone production and cause low libido or fertility issues.,Endocrine Society Hyperprolactinaemia Guidelines (2024),,,
25,Prolactin,Hormonal Balance,"Adult women, (pregnancy-sensitive)",ng/mL,3 to 24 (inclusive),"> 1 and < 3, or > 24 and < 30",≤ 1 or ≥ 30,Elevated prolactin in non-pregnant women can cause menstrual irregularity. Pregnancy-specific ranges are much higher.,Endocrine Society Hyperprolactinaemia Guidelines (2024),,,
26,Estradiol,Hormonal Balance,Adult men,pg/mL,10 to 40 (inclusive),"> 5 and < 10, or > 40 and < 55",≤ 5 or ≥ 55,Estradiol in men is normal in small quantities. Elevated levels may indicate aromatase excess.,AACC reference intervals (2024),,,
27,Estradiol,Hormonal Balance,"Adult women, (pregnancy-sensitive)",pg/mL,30 to 400 (inclusive),"> 15 and < 30, or > 400 and < 450",≤ 15 or ≥ 450,Estradiol varies dramatically across menstrual cycle phases and life stages. Not classified when pregnancy status is unknown or positive.,Endocrine Society menstrual-cycle reference (2024),,,
28,Anti-Müllerian Hormone,Hormonal Balance,Adult women,ng/mL,1 to 6.8 (inclusive),"> 0.3 and < 1, or > 6.8 and < 10",≤ 0.3 or ≥ 10,AMH reflects ovarian reserve. High levels can indicate PCOS; very low levels suggest diminished reserve.,ASRM + Endocrine Society PCOS Guidelines (2024),,,
29,Iron (serum),Nutrient Health,Adult men,µg/dL,70 to 175 (inclusive),"> 50 and < 70, or > 175 and < 200",≤ 50 or ≥ 200,Serum iron reflects circulating iron. Interpreted with ferritin and transferrin saturation.,AACC iron panel reference (2024),,,
30,Iron (serum),Nutrient Health,"Adult women, (pregnancy-sensitive)",µg/dL,60 to 160 (inclusive),"> 40 and < 60, or > 160 and < 180",≤ 40 or ≥ 180,Serum iron reflects circulating iron. Pregnancy-specific ranges differ significantly.,AACC iron panel reference (2024),,,
31,Fasting Glucose,Metabolic,"Adults (any sex), (pregnancy-sensitive)",mg/dL,70 to 99 (inclusive),"> 60 and < 70, or > 99 and < 125",≤ 60 or ≥ 125,Fasting glucose 100–125 mg/dL is prediabetic range; 126+ meets diabetes threshold. Pregnancy thresholds differ.,ADA Standards of Care (2024),,,
32,Fasting Insulin,Metabolic,Adults (any sex),µIU/mL,2 to 8 (inclusive),"> 1 and < 2, or > 8 and < 15",≤ 1 or ≥ 15,"Fasting insulin reflects baseline insulin production. Elevated levels suggest insulin resistance, often before glucose becomes abnormal.",Endocrine Society insulin-resistance review (2024),,,
33,Total Cholesterol,Lipids,Adults (any sex),mg/dL,150 to 199 (inclusive),"> 100 and < 150, or > 199 and < 239",≤ 100 or ≥ 239,"Total cholesterol is the sum of LDL, HDL, and other lipoproteins. Interpretation requires the full lipid panel.",ADA/ACC lipid guidelines (2024),,,
34,HDL Cholesterol,Lipids,Adult men,mg/dL,40 to 85 (inclusive),"> 30 and < 40, or > 85 and < 100",≤ 30 or ≥ 100,HDL transports cholesterol away from arteries. Higher is protective.,ADA/ACC lipid guidelines (2024),,,
35,HDL Cholesterol,Lipids,Adult women,mg/dL,50 to 95 (inclusive),"> 35 and < 50, or > 95 and < 110",≤ 35 or ≥ 110,HDL transports cholesterol away from arteries. Higher is protective.,ADA/ACC lipid guidelines (2024),,,
36,LDL Cholesterol,Lipids,Adults (any sex),mg/dL,50 to 99 (inclusive),"> 30 and < 50, or > 99 and < 159",≤ 30 or ≥ 159,LDL deposits cholesterol in arteries. High LDL is the primary lipid target for cardiovascular risk reduction.,ADA/ACC lipid guidelines (2024),,,
37,Triglycerides,Lipids,Adults (any sex),mg/dL,40 to 149 (inclusive),"> 20 and < 40, or > 149 and < 199",≤ 20 or ≥ 199,Triglycerides rise after meals and with carbohydrate-heavy diets. Sustained high levels are cardiovascular risk factors.,ADA/ACC lipid guidelines (2024),,,
38,ALT (SGPT),Liver,Adults (any sex),U/L,7 to 35 (inclusive),"> 5 and < 7, or > 35 and < 55",≤ 5 or ≥ 55,"ALT rises when liver cells are damaged. Elevated levels may indicate fatty liver, medication injury, or viral hepatitis.",AASLD reference intervals (2024),,,
39,AST (SGOT),Liver,Adults (any sex),U/L,8 to 33 (inclusive),"> 5 and < 8, or > 33 and < 55",≤ 5 or ≥ 55,"AST is present in liver, heart, and muscle. Interpreted alongside ALT.",AASLD reference intervals (2024),,,
40,Creatinine,Kidney,Adult men,mg/dL,0.7 to 1.3 (inclusive),"> 0.5 and < 0.7, or > 1.3 and < 1.5",≤ 0.5 or ≥ 1.5,Creatinine is a kidney-filtered muscle breakdown product. Elevated levels suggest reduced kidney function.,KDIGO kidney guidelines (2024),,,
41,Creatinine,Kidney,Adult women,mg/dL,0.5 to 1.1 (inclusive),"> 0.4 and < 0.5, or > 1.1 and < 1.3",≤ 0.4 or ≥ 1.3,Creatinine reflects kidney filtration. Lower muscle mass in women gives lower reference range.,KDIGO kidney guidelines (2024),,,
42,Uric Acid,Metabolic,Adults (any sex),mg/dL,3 to 6 (inclusive),"> 2 and < 3, or > 6 and < 7.5",≤ 2 or ≥ 7.5,Uric acid rises with purine-rich diets and metabolic syndrome. Sustained high levels can precipitate gout.,AACC uric acid reference (2024),,,
43,Total Leukocyte Count,CBC,Adults (any sex),10^3/µL,4 to 10 (inclusive),"> 3 and < 4, or > 10 and < 12",≤ 3 or ≥ 12,WBC count reflects immune activity. Elevated counts suggest infection or inflammation; very low counts warrant attention.,AACC CBC reference (2024),,,
44,Platelet Count,CBC,Adults (any sex),10^3/µL,150 to 400 (inclusive),"> 100 and < 150, or > 400 and < 500",≤ 100 or ≥ 500,Platelets are essential for blood clotting. Low counts can cause bleeding risk; very high counts increase clotting risk.,AACC CBC reference (2024),,,
45,MCV,CBC,Adults (any sex),fL,80 to 100 (inclusive),"> 70 and < 80, or > 100 and < 105",≤ 70 or ≥ 105,MCV is the average red blood cell size. Helps classify anaemia: low MCV suggests iron deficiency; high MCV suggests B12/folate deficiency.,AACC CBC reference (2024),,,
